Entity,Code,Year,HAQ Index,"Current health expenditure per capita, PPP (current international $)",Population (historical estimates),Continent
Madagascar,MDG,2015,43.7,76.91251,24850912.0,Africa
Malawi,MWI,1990,34.7,,9539669.0,
Malawi,MWI,1995,35.4,,10112813.0,
Malawi,MWI,2000,36.5,24.805698,11229380.0,
Malawi,MWI,2005,40.6,45.32084,12755647.0,
Malawi,MWI,2010,44.3,73.99703,14718426.0,
Malawi,MWI,2015,47.0,95.53276,16938944.0,Africa
Malaysia,MYS,1990,54.2,,17517060.0,
Malaysia,MYS,1995,57.2,,20136886.0,
Malaysia,MYS,2000,60.3,353.66205,22945152.0,
Malaysia,MYS,2005,63.2,480.32626,25923540.0,
Malaysia,MYS,2010,63.9,658.2702,28717728.0,
Malaysia,MYS,2015,66.6,946.9838,31068834.0,Asia
Maldives,MDV,1990,45.9,,224976.0,
Maldives,MDV,1995,51.6,,258217.0,
Maldives,MDV,2000,59.3,818.67236,282520.0,
Maldives,MDV,2005,67.1,789.2176,307023.0,
Maldives,MDV,2010,72.9,1078.9711,361579.0,
Maldives,MDV,2015,75.5,1457.2584,435590.0,Asia
Mali,MLI,1990,32.7,,8945030.0,
Mali,MLI,1995,33.8,,9921096.0,
Mali,MLI,2000,37.7,62.01759,11239103.0,
Mali,MLI,2005,43.5,79.41812,13180556.0,
Mali,MLI,2010,44.4,83.61505,15529183.0,
Mali,MLI,2015,45.6,83.57169,18112910.0,Africa
Malta,MLT,1990,74.7,,365396.0,
Malta,MLT,1995,76.8,,381860.0,
Malta,MLT,2000,78.9,1211.1573,399212.0,
Malta,MLT,2005,81.4,1938.2571,410217.0,
Malta,MLT,2010,82.9,2288.4648,418758.0,
Malta,MLT,2015,85.1,3373.2385,456585.0,Europe
Marshall Islands,MHL,1990,41.2,,46069.0,
Marshall Islands,MHL,1995,43.2,,50723.0,
Marshall Islands,MHL,2000,43.2,406.75266,54243.0,
Marshall Islands,MHL,2005,44.3,536.2855,54356.0,
Marshall Islands,MHL,2010,46.8,439.8268,53431.0,
Marshall Islands,MHL,2015,49.8,513.8619,49426.0,Oceania
Mauritania,MRT,1990,37.3,,2006035.0,
Mauritania,MRT,1995,38.9,,2380345.0,
Mauritania,MRT,2000,42.9,105.84823,2695018.0,
Mauritania,MRT,2005,46.9,126.965225,3012363.0,
Mauritania,MRT,2010,49.6,111.143585,3419462.0,
Mauritania,MRT,2015,52.0,154.29881,3946225.0,Africa
Mauritius,MUS,1990,53.6,,1090296.0,
Mauritius,MUS,1995,57.3,,1160218.0,
Mauritius,MUS,2000,59.8,273.36072,1215930.0,
Mauritius,MUS,2005,61.8,431.68576,1258050.0,
Mauritius,MUS,2010,63.3,720.37286,1283347.0,
Mauritius,MUS,2015,65.7,1098.8331,1293159.0,Africa
Mexico,MEX,1990,49.2,,81720424.0,
Mexico,MEX,1995,54.1,,89969568.0,
Mexico,MEX,2000,57.4,493.39966,97873448.0,
Mexico,MEX,2005,59.1,738.71515,105442400.0,
Mexico,MEX,2010,60.5,875.4848,112532400.0,
Mexico,MEX,2015,62.6,1047.3535,120149896.0,North America
Micronesia (country),FSM,1990,41.1,,98616.0,
Micronesia (country),FSM,1995,43.6,,110346.0,
Micronesia (country),FSM,2000,46.8,170.15945,111725.0,
Micronesia (country),FSM,2005,49.8,454.04822,110957.0,
Micronesia (country),FSM,2010,51.5,377.11343,107606.0,
Micronesia (country),FSM,2015,53.8,366.97675,109477.0,Oceania
Moldova,MDA,1990,59.6,,4480206.0,
Moldova,MDA,1995,56.0,,4461238.0,
Moldova,MDA,2000,60.8,149.62202,4251571.0,
Moldova,MDA,2005,64.8,377.2542,4001380.0,
Moldova,MDA,2010,66.8,520.3094,3678186.0,
Moldova,MDA,2015,73.1,631.46045,3277390.0,Europe
Mongolia,MNG,1990,42.3,,2161440.0,
Mongolia,MNG,1995,42.1,,2330339.0,
Mongolia,MNG,2000,44.7,212.3951,2450988.0,
Mongolia,MNG,2005,50.9,203.69412,2559258.0,
Mongolia,MNG,2010,54.9,283.50928,2702527.0,
Mongolia,MNG,2015,58.5,456.34784,2964756.0,Asia
Montenegro,MNE,1990,70.2,,621450.0,
Montenegro,MNE,1995,70.2,,632066.0,
Montenegro,MNE,2000,69.9,,633330.0,
Montenegro,MNE,2005,74.4,,632885.0,
Montenegro,MNE,2010,78.2,,631048.0,
Montenegro,MNE,2015,80.7,1462.4469,633969.0,Europe
Morocco,MAR,1990,44.0,,24570816.0,
Morocco,MAR,1995,47.8,,26599054.0,
Morocco,MAR,2000,52.6,143.94247,28554420.0,
Morocco,MAR,2005,55.6,231.66565,30431898.0,
Morocco,MAR,2010,58.7,376.83514,32464866.0,
Morocco,MAR,2015,61.3,361.25082,34680456.0,Africa
Mozambique,MOZ,1990,33.2,,13303461.0,
Mozambique,MOZ,1995,35.1,,15594829.0,
Mozambique,MOZ,2000,36.4,10.614238,17768510.0,
Mozambique,MOZ,2005,39.6,30.51537,20211124.0,
Mozambique,MOZ,2010,40.9,52.155922,23073732.0,
Mozambique,MOZ,2015,43.0,86.72979,26843252.0,Africa
Myanmar,MMR,1990,29.7,,40099556.0,
Myanmar,MMR,1995,31.6,,42880188.0,
Myanmar,MMR,2000,34.7,19.54582,45538340.0,
Myanmar,MMR,2005,39.5,41.809875,47724472.0,
Myanmar,MMR,2010,44.4,59.186176,49390988.0,
Myanmar,MMR,2015,48.4,224.8885,51483956.0,Asia
Namibia,NAM,1990,41.8,,1369016.0,
Namibia,NAM,1995,41.9,,1605382.0,
Namibia,NAM,2000,39.9,503.86594,1819148.0,
Namibia,NAM,2005,43.5,702.7912,1962874.0,
Namibia,NAM,2010,50.4,814.93933,2099275.0,
Namibia,NAM,2015,53.7,1061.3206,2282709.0,Africa
Nepal,NPL,1990,34.0,,19616528.0,
Nepal,NPL,1995,37.1,,22305572.0,
Nepal,NPL,2000,41.6,42.341198,24559504.0,
Nepal,NPL,2005,45.7,65.68694,26285112.0,
Nepal,NPL,2010,48.2,94.40989,27161572.0,
Nepal,NPL,2015,50.8,163.77803,27610328.0,Asia
Netherlands,NLD,1990,79.2,,14944550.0,
Netherlands,NLD,1995,80.8,,15446670.0,
Netherlands,NLD,2000,82.1,2466.85,15899138.0,
Netherlands,NLD,2005,85.1,3425.7014,16261834.0,
Netherlands,NLD,2010,88.2,4588.9326,16617121.0,
Netherlands,NLD,2015,89.5,5203.804,17041110.0,Europe
New Zealand,NZL,1990,74.2,,3397388.0,
New Zealand,NZL,1995,77.6,,3673899.0,
New Zealand,NZL,2000,80.0,1606.5953,3855266.0,
New Zealand,NZL,2005,82.5,2123.635,4132782.0,
New Zealand,NZL,2010,84.2,2983.428,4346345.0,
New Zealand,NZL,2015,86.2,3475.5354,4590591.0,Oceania
Nicaragua,NIC,1990,49.7,,4227824.0,
Nicaragua,NIC,1995,51.7,,4721932.0,
Nicaragua,NIC,2000,55.5,145.81026,5123223.0,
Nicaragua,NIC,2005,58.8,211.17868,5454680.0,
Nicaragua,NIC,2010,61.8,306.94858,5855736.0,
Nicaragua,NIC,2015,64.3,421.55222,6298610.0,North America
Niger,NER,1990,31.8,,8370650.0,
Niger,NER,1995,33.1,,9813920.0,
Niger,NER,2000,34.6,36.32669,11622673.0,
Niger,NER,2005,37.7,50.725956,13855225.0,
Niger,NER,2010,40.3,53.230495,16647545.0,
Niger,NER,2015,41.0,61.241283,20128132.0,Africa
Nigeria,NGA,1990,38.3,,95214256.0,
Nigeria,NGA,1995,39.7,,108187616.0,
Nigeria,NGA,2000,40.6,77.40005,122851984.0,
Nigeria,NGA,2005,43.1,162.4747,140490720.0,
Nigeria,NGA,2010,48.8,157.47595,160952864.0,
Nigeria,NGA,2015,51.3,194.36855,183995776.0,Africa
North Africa and Middle East,,1990,43.8,,,
North Africa and Middle East,,1995,46.5,,,
North Africa and Middle East,,2000,49.9,,,
North Africa and Middle East,,2005,52.8,,,
North Africa and Middle East,,2010,55.7,,,
North Africa and Middle East,,2015,58.4,,,
North Korea,PRK,1990,53.1,,20799522.0,
North Korea,PRK,1995,55.8,,22385538.0,
North Korea,PRK,2000,56.0,,23367064.0,
North Korea,PRK,2005,57.5,,24100980.0,
North Korea,PRK,2010,60.4,,24686436.0,
North Korea,PRK,2015,62.3,,25258012.0,Asia
North Macedonia,MKD,1990,61.9,,2044181.0,
North Macedonia,MKD,1995,63.4,,1983971.0,
North Macedonia,MKD,2000,67.0,543.6251,2037940.0,
North Macedonia,MKD,2005,69.9,595.87384,2078667.0,
North Macedonia,MKD,2010,74.2,757.52905,2093828.0,
North Macedonia,MKD,2015,76.0,876.97595,2107965.0,Europe
Northern Mariana Islands,MNP,1990,60.5,,48021.0,
Northern Mariana Islands,MNP,1995,65.5,,48736.0,
Northern Mariana Islands,MNP,2000,68.9,,80353.0,
Northern Mariana Islands,MNP,2005,71.4,,69045.0,
Northern Mariana Islands,MNP,2010,72.7,,54109.0,
Northern Mariana Islands,MNP,2015,71.8,,51538.0,Oceania
Norway,NOR,1990,77.5,,4241637.0,
Norway,NOR,1995,81.0,,4359327.0,
Norway,NOR,2000,82.8,2857.7734,4491204.0,
Norway,NOR,2005,85.9,3995.3967,4623691.0,
Norway,NOR,2010,88.0,5194.9863,4889747.0,
Norway,NOR,2015,90.5,6142.4375,5190357.0,Europe
Oceania,,1990,33.8,,26744211.0,
Oceania,,1995,34.8,,28905477.0,
Oceania,,2000,35.4,,31223133.0,
Oceania,,2005,36.1,,33813365.0,
Oceania,,2010,37.7,,37103109.0,
Oceania,,2015,40.3,,40403644.0,
Oman,OMN,1990,66.1,,1804528.0,
Oman,OMN,1995,71.4,,2172681.0,
Oman,OMN,2000,74.4,1101.5353,2344261.0,
Oman,OMN,2005,76.2,982.10095,2515202.0,
Oman,OMN,2010,72.9,1252.3112,2881915.0,
Oman,OMN,2015,77.1,1349.4435,4191784.0,Asia
Pakistan,PAK,1990,36.5,,115414072.0,
Pakistan,PAK,1995,35.6,,133117480.0,
Pakistan,PAK,2000,36.3,74.68946,154369920.0,
Pakistan,PAK,2005,38.1,90.67673,174372096.0,
Pakistan,PAK,2010,41.2,101.021454,194454496.0,
Pakistan,PAK,2015,43.1,117.508095,210969296.0,Asia
Palestine,PSE,1990,61.8,,2124623.0,
Palestine,PSE,1995,65.6,,2623149.0,
Palestine,PSE,2000,68.3,,3139950.0,
Palestine,PSE,2005,68.7,,3541198.0,
Palestine,PSE,2010,69.0,,3992283.0,
Palestine,PSE,2015,70.5,,4484615.0,Asia
Panama,PAN,1990,52.9,,2449966.0,
Panama,PAN,1995,56.7,,2716071.0,
Panama,PAN,2000,59.8,587.761,3001738.0,
Panama,PAN,2005,61.3,651.9093,3305875.0,
Panama,PAN,2010,62.2,1073.6312,3623622.0,
Panama,PAN,2015,64.4,1724.0033,3957102.0,North America
Papua New Guinea,PNG,1990,32.0,,3864983.0,
Papua New Guinea,PNG,1995,33.0,,4616444.0,
Papua New Guinea,PNG,2000,33.4,39.558044,5508300.0,
Papua New Guinea,PNG,2005,34.0,54.98086,6498828.0,
Papua New Guinea,PNG,2010,35.8,61.44653,7583269.0,
Papua New Guinea,PNG,2015,38.6,72.21133,8682172.0,Oceania
Paraguay,PRY,1990,53.0,,4059198.0,
Paraguay,PRY,1995,55.1,,4603924.0,
Paraguay,PRY,2000,56.6,400.48007,5123817.0,
Paraguay,PRY,2005,57.4,361.4806,5476881.0,
Paraguay,PRY,2010,58.6,546.65094,5768618.0,
Paraguay,PRY,2015,60.4,768.6389,6177954.0,South America
Peru,PER,1990,45.9,,22109102.0,
Peru,PER,1995,49.8,,24449060.0,
Peru,PER,2000,57.1,216.8295,26654440.0,
Peru,PER,2005,62.7,300.95953,28147260.0,
Peru,PER,2010,65.9,463.18875,29229576.0,
Peru,PER,2015,69.6,580.9764,30711864.0,South America
Philippines,PHL,1990,45.0,,61558900.0,
Philippines,PHL,1995,46.1,,69250472.0,
Philippines,PHL,2000,47.5,105.08213,77958224.0,
Philippines,PHL,2005,47.6,163.5625,86261248.0,
Philippines,PHL,2010,49.6,232.42613,94636704.0,
Philippines,PHL,2015,52.0,280.16,103031360.0,Asia
Poland,POL,1990,62.1,,38064252.0,
Poland,POL,1995,65.4,,38401980.0,
Poland,POL,2000,70.8,564.5071,38504432.0,
Poland,POL,2005,73.8,806.7943,38575912.0,
Poland,POL,2010,76.3,1352.9597,38597356.0,
Poland,POL,2015,79.6,1716.899,38553148.0,Europe
Portugal,PRT,1990,67.2,,10007347.0,
Portugal,PRT,1995,71.5,,10051250.0,
Portugal,PRT,2000,74.7,1630.7753,10300632.0,
Portugal,PRT,2005,79.7,2195.4963,10523314.0,
Portugal,PRT,2010,81.9,2737.0454,10588401.0,
Portugal,PRT,2015,84.5,2758.8845,10365436.0,Europe
Puerto Rico,PRI,1990,64.5,,3543785.0,
Puerto Rico,PRI,1995,66.1,,3704948.0,
Puerto Rico,PRI,2000,69.8,,3827104.0,
Puerto Rico,PRI,2005,72.6,,3805560.0,
Puerto Rico,PRI,2010,74.0,,3717920.0,
Puerto Rico,PRI,2015,76.6,,3497335.0,North America
Qatar,QAT,1990,70.8,,441685.0,
Qatar,QAT,1995,71.3,,515140.0,
Qatar,QAT,2000,73.1,1944.8362,645947.0,
Qatar,QAT,2005,77.5,2822.3022,848718.0,
Qatar,QAT,2010,83.1,2362.6555,1713512.0,
Qatar,QAT,2015,85.2,2789.9478,2414580.0,Asia
Romania,ROU,1990,58.3,,22836234.0,
Romania,ROU,1995,60.0,,22533138.0,
Romania,ROU,2000,64.2,246.10161,21919882.0,
Romania,ROU,2005,67.2,529.23016,21092264.0,
Romania,ROU,2010,71.1,977.3198,20335212.0,
Romania,ROU,2015,74.4,1065.9272,19906078.0,Europe
Russia,RUS,1990,61.4,,148005696.0,
Russia,RUS,1995,57.6,,148557456.0,
Russia,RUS,2000,59.7,367.58203,146844848.0,
Russia,RUS,2005,62.9,603.8014,143800048.0,
Russia,RUS,2010,68.5,1086.5835,143242592.0,
Russia,RUS,2015,71.7,1288.0707,144668384.0,Europe
Rwanda,RWA,1990,29.9,,7319970.0,
Rwanda,RWA,1995,23.3,,5686897.0,
Rwanda,RWA,2000,30.4,22.920612,8109994.0,
Rwanda,RWA,2005,42.6,72.286026,9026297.0,
Rwanda,RWA,2010,47.0,109.15526,10309032.0,
Rwanda,RWA,2015,47.8,120.08472,11642963.0,Africa
Saint Lucia,LCA,1990,49.7,,142315.0,
Saint Lucia,LCA,1995,53.0,,152368.0,
Saint Lucia,LCA,2000,56.0,450.4605,159513.0,
Saint Lucia,LCA,2005,58.5,522.1184,165394.0,
Saint Lucia,LCA,2010,61.1,625.3448,170950.0,
Saint Lucia,LCA,2015,62.5,620.80396,175638.0,North America
Saint Vincent and the Grenadines,VCT,1990,50.4,,112507.0,
Saint Vincent and the Grenadines,VCT,1995,51.4,,114187.0,
Saint Vincent and the Grenadines,VCT,2000,53.0,267.2809,113832.0,
Saint Vincent and the Grenadines,VCT,2005,55.2,346.78857,112056.0,
Saint Vincent and the Grenadines,VCT,2010,56.7,461.415,109324.0,
Saint Vincent and the Grenadines,VCT,2015,57.5,475.56168,106493.0,North America
Samoa,WSM,1990,50.9,,168202.0,
Samoa,WSM,1995,53.6,,174917.0,
Samoa,WSM,2000,56.5,147.50208,184022.0,
Samoa,WSM,2005,58.6,234.87592,188634.0,
Samoa,WSM,2010,60.7,283.7015,194686.0,
Samoa,WSM,2015,62.1,337.28143,203586.0,Oceania
Sao Tome and Principe,STP,1990,41.3,,120355.0,
Sao Tome and Principe,STP,1995,41.9,,133094.0,
Sao Tome and Principe,STP,2000,42.8,188.09108,143729.0,
Sao Tome and Principe,STP,2005,44.0,259.14133,161697.0,
Sao Tome and Principe,STP,2010,47.3,196.93512,182154.0,
Sao Tome and Principe,STP,2015,49.6,204.94856,201142.0,Africa
Saudi Arabia,SAU,1990,63.4,,16004768.0,
Saudi Arabia,SAU,1995,66.8,,18888862.0,
Saudi Arabia,SAU,2000,71.2,1679.6945,21547398.0,
Saudi Arabia,SAU,2005,74.2,1612.2825,24397652.0,
Saudi Arabia,SAU,2010,77.0,1879.7368,29411930.0,
Saudi Arabia,SAU,2015,79.4,2915.8618,32749838.0,Asia
Senegal,SEN,1990,37.6,,7536003.0,
Senegal,SEN,1995,38.1,,8632684.0,
Senegal,SEN,2000,38.9,67.5284,9704291.0,
Senegal,SEN,2005,41.5,85.866356,10974066.0,
Senegal,SEN,2010,42.9,106.51957,12530128.0,
Senegal,SEN,2015,44.4,130.22137,14356191.0,Africa
Serbia,SRB,1990,64.2,,7987530.0,
Serbia,SRB,1995,64.4,,7982463.0,
Serbia,SRB,2000,66.6,371.9529,7935023.0,
Serbia,SRB,2005,69.4,759.03644,7830944.0,
Serbia,SRB,2010,73.1,1217.7197,7653749.0,
Serbia,SRB,2015,75.4,1312.1549,7519501.0,Europe
Seychelles,SYC,1990,50.7,,71073.0,
Seychelles,SYC,1995,55.1,,74753.0,
Seychelles,SYC,2000,58.5,659.05536,80073.0,
Seychelles,SYC,2005,61.1,717.7424,85907.0,
Seychelles,SYC,2010,63.9,920.9301,92424.0,
Seychelles,SYC,2015,66.1,1086.4508,99260.0,Africa
Sierra Leone,SLE,1990,37.6,,4325390.0,
Sierra Leone,SLE,1995,37.2,,4324151.0,
Sierra Leone,SLE,2000,35.4,116.47589,4584074.0,
Sierra Leone,SLE,2005,36.1,100.28584,5683338.0,
Sierra Leone,SLE,2010,38.2,124.107574,6436699.0,
Sierra Leone,SLE,2015,41.3,326.45438,7314779.0,Africa
Singapore,SGP,1990,67.4,,3022218.0,
Singapore,SGP,1995,72.8,,3543878.0,
Singapore,SGP,2000,77.3,1465.1426,4053602.0,
Singapore,SGP,2005,80.8,1781.3234,4344645.0,
Singapore,SGP,2010,84.2,2385.8325,5163585.0,
Singapore,SGP,2015,86.3,3598.9907,5650020.0,Asia
Slovakia,SVK,1990,66.6,,5261310.0,
Slovakia,SVK,1995,69.4,,5349999.0,
Slovakia,SVK,2000,70.8,602.40186,5376700.0,
Slovakia,SVK,2005,72.2,1096.3447,5376251.0,
Slovakia,SVK,2010,74.9,1949.3484,5396428.0,
Slovakia,SVK,2015,78.6,2033.2246,5424449.0,Europe
Slovenia,SVN,1990,71.2,,1986030.0,
Slovenia,SVN,1995,72.8,,1991115.0,
Slovenia,SVN,2000,76.4,1406.2651,1984339.0,
Slovenia,SVN,2005,79.8,1910.0029,2004780.0,
Slovenia,SVN,2010,84.3,2387.0737,2057294.0,
Slovenia,SVN,2015,87.4,2688.6975,2080865.0,Europe
Solomon Islands,SLB,1990,33.4,,324184.0,
Solomon Islands,SLB,1995,35.7,,375198.0,
Solomon Islands,SLB,2000,38.3,77.14681,429986.0,
Solomon Islands,SLB,2005,38.0,155.35065,482496.0,
Solomon Islands,SLB,2010,40.1,182.64882,540402.0,
Solomon Islands,SLB,2015,43.1,113.60162,612670.0,Oceania
Somalia,SOM,1990,29.1,,6999098.0,
Somalia,SOM,1995,29.3,,7210931.0,
Somalia,SOM,2000,30.1,,8721465.0,
Somalia,SOM,2005,31.8,,10467294.0,
Somalia,SOM,2010,33.3,,12026650.0,
Somalia,SOM,2015,34.2,,13763909.0,Africa
South Africa,ZAF,1990,45.6,,39877568.0,
South Africa,ZAF,1995,47.9,,43986088.0,
South Africa,ZAF,2000,44.8,629.90076,46813272.0,
South Africa,ZAF,2005,45.2,752.8957,49017156.0,
South Africa,ZAF,2010,49.4,1015.7871,51784928.0,
South Africa,ZAF,2015,52.0,1103.3734,55876504.0,Africa
South Asia,,1990,30.7,,,
South Asia,,1995,32.9,,,
South Asia,,2000,35.1,,,
South Asia,,2005,38.1,,,
South Asia,,2010,41.1,,,
South Asia,,2015,44.4,,,
South Korea,KOR,1990,61.7,,44120040.0,
South Korea,KOR,1995,70.5,,45393416.0,
South Korea,KOR,2000,74.6,716.9294,46788588.0,
South Korea,KOR,2005,80.4,1150.7494,47889576.0,
South Korea,KOR,2010,83.9,1878.9766,48813036.0,
South Korea,KOR,2015,85.8,2531.058,50994396.0,Asia
South Sudan,SSD,1990,33.4,,4750824.0,
South Sudan,SSD,1995,34.7,,5302053.0,
South Sudan,SSD,2000,37.5,,6114443.0,
South Sudan,SSD,2005,39.0,,7662659.0,
South Sudan,SSD,2010,38.8,,9714425.0,
South Sudan,SSD,2015,38.8,,11194300.0,Africa
Southeast Asia,,1990,38.6,,,
Southeast Asia,,1995,40.9,,,
Southeast Asia,,2000,43.0,,,
Southeast Asia,,2005,46.0,,,
Southeast Asia,,2010,49.4,,,
Southeast Asia,,2015,52.1,,,
"Southeast Asia, East Asia, and Oceania",,1990,44.8,,,
"Southeast Asia, East Asia, and Oceania",,1995,48.1,,,
"Southeast Asia, East Asia, and Oceania",,2000,51.1,,,
"Southeast Asia, East Asia, and Oceania",,2005,55.4,,,
"Southeast Asia, East Asia, and Oceania",,2010,60.0,,,
"Southeast Asia, East Asia, and Oceania",,2015,63.5,,,
Southern Latin America,,1990,57.6,,,
Southern Latin America,,1995,61.1,,,
Southern Latin America,,2000,64.7,,,
Southern Latin America,,2005,66.7,,,
Southern Latin America,,2010,68.1,,,
Southern Latin America,,2015,70.0,,,
Southern Sub-Saharan Africa,,1990,44.8,,,
Southern Sub-Saharan Africa,,1995,46.7,,,
Southern Sub-Saharan Africa,,2000,43.4,,,
Southern Sub-Saharan Africa,,2005,43.1,,,
Southern Sub-Saharan Africa,,2010,46.3,,,
Southern Sub-Saharan Africa,,2015,49.2,,,
Spain,ESP,1990,73.9,,38889888.0,
Spain,ESP,1995,78.1,,39814568.0,
Spain,ESP,2000,81.4,1471.743,40741652.0,
Spain,ESP,2005,84.1,2152.1465,43685372.0,
Spain,ESP,2010,87.2,2896.8303,46572776.0,
Spain,ESP,2015,89.6,3184.9949,46431344.0,Europe
Sri Lanka,LKA,1990,56.9,,17204098.0,
Sri Lanka,LKA,1995,59.5,,18177570.0,
Sri Lanka,LKA,2000,60.4,176.31602,18776374.0,
Sri Lanka,LKA,2005,63.8,227.38979,19673866.0,
Sri Lanka,LKA,2010,68.9,316.90973,20668556.0,
Sri Lanka,LKA,2015,72.8,450.90964,21336692.0,Asia
Sub-Saharan Africa,,1990,32.3,,,
Sub-Saharan Africa,,1995,33.5,,,
Sub-Saharan Africa,,2000,34.6,,,
Sub-Saharan Africa,,2005,37.4,,,
Sub-Saharan Africa,,2010,40.5,,,
Sub-Saharan Africa,,2015,42.2,,,
Sudan,SDN,1990,36.6,,21090892.0,
Sudan,SDN,1995,38.8,,23290602.0,
Sudan,SDN,2000,42.0,76.29737,26298778.0,
Sudan,SDN,2005,44.9,144.2063,29540584.0,
Sudan,SDN,2010,47.4,207.41531,33739932.0,
Sudan,SDN,2015,50.1,322.5486,38171172.0,Africa
Suriname,SUR,1990,46.7,,412767.0,
Suriname,SUR,1995,48.6,,434497.0,
Suriname,SUR,2000,49.5,494.3825,479011.0,
Suriname,SUR,2005,51.0,591.5883,516228.0,
Suriname,SUR,2010,53.5,681.54236,546085.0,
Suriname,SUR,2015,56.7,999.574,575478.0,South America
Sweden,SWE,1990,80.4,,8548407.0,
Sweden,SWE,1995,83.9,,8758496.0,
Sweden,SWE,2000,85.7,2173.6626,8871042.0,
Sweden,SWE,2005,87.0,2796.842,9051739.0,
Sweden,SWE,2010,88.7,3529.6523,9381722.0,
Sweden,SWE,2015,90.5,5333.4023,9849344.0,Europe
Switzerland,CHE,1990,81.4,,6711685.0,
Switzerland,CHE,1995,83.4,,7038302.0,
Switzerland,CHE,2000,85.4,3362.198,7182052.0,
Switzerland,CHE,2005,88.2,4189.0654,7428437.0,
Switzerland,CHE,2010,90.1,5485.3794,7822444.0,
Switzerland,CHE,2015,91.8,7306.933,8281735.0,Europe
Syria,SYR,1990,58.2,,12409003.0,
Syria,SYR,1995,63.1,,14313451.0,
Syria,SYR,2000,68.2,144.8544,16307659.0,
Syria,SYR,2005,71.4,170.98355,18583556.0,
Syria,SYR,2010,73.8,166.73851,22337558.0,
Syria,SYR,2015,74.6,,19205178.0,Asia
Taiwan,TWN,1990,64.2,,20586176.0,
Taiwan,TWN,1995,66.8,,21455818.0,
Taiwan,TWN,2000,70.1,,22194740.0,
Taiwan,TWN,2005,73.6,,22796312.0,
Taiwan,TWN,2010,77.1,,23083086.0,
Taiwan,TWN,2015,77.6,,23512136.0,Asia
Tajikistan,TJK,1990,48.7,,5417862.0,
Tajikistan,TJK,1995,48.1,,5916183.0,
Tajikistan,TJK,2000,48.6,45.224125,6273001.0,
Tajikistan,TJK,2005,51.7,88.74151,6929153.0,
Tajikistan,TJK,2010,55.4,133.53506,7621785.0,
Tajikistan,TJK,2015,58.6,206.61566,8524066.0,Asia
Tanzania,TZA,1990,39.9,,26206024.0,
Tanzania,TZA,1995,41.0,,30560072.0,
Tanzania,TZA,2000,43.1,36.569416,34463704.0,
Tanzania,TZA,2005,46.7,93.29674,39439508.0,
Tanzania,TZA,2010,48.8,105.422516,45110532.0,
Tanzania,TZA,2015,49.9,83.21102,52542824.0,Africa
Thailand,THA,1990,52.4,,55228408.0,
Thailand,THA,1995,55.9,,59424836.0,
Thailand,THA,2000,59.3,226.48119,63066604.0,
Thailand,THA,2005,64.8,324.07166,65821360.0,
Thailand,THA,2010,68.4,447.3363,68270488.0,
Thailand,THA,2015,70.8,580.34705,70294408.0,Asia
The Bahamas,,1990,50.9,,,
The Bahamas,,1995,54.1,,,
The Bahamas,,2000,57.0,,,
The Bahamas,,2005,59.9,,,
The Bahamas,,2010,62.1,,,
The Bahamas,,2015,63.9,,,
Togo,TGO,1990,37.4,,3875958.0,
Togo,TGO,1995,36.9,,4279573.0,
Togo,TGO,2000,36.9,36.65239,5008043.0,
Togo,TGO,2005,40.1,44.88882,5711605.0,
Togo,TGO,2010,41.8,68.77303,6571862.0,
Togo,TGO,2015,44.3,93.44444,7473232.0,Africa
Tonga,TON,1990,55.0,,98744.0,
Tonga,TON,1995,56.3,,99995.0,
Tonga,TON,2000,57.3,109.10317,102620.0,
Tonga,TON,2005,58.4,194.52484,105644.0,
Tonga,TON,2010,60.1,229.81624,107401.0,
Tonga,TON,2015,62.1,270.64816,106140.0,Oceania
Trinidad and Tobago,TTO,1990,51.6,,1266525.0,
Trinidad and Tobago,TTO,1995,53.5,,1307831.0,
Trinidad and Tobago,TTO,2000,55.8,626.6725,1332203.0,
Trinidad and Tobago,TTO,2005,58.6,1053.6812,1369078.0,
Trinidad and Tobago,TTO,2010,60.5,1576.4778,1410297.0,
Trinidad and Tobago,TTO,2015,62.1,1665.3807,1460180.0,North America
Tropical Latin America,,1990,50.1,,,
Tropical Latin America,,1995,53.7,,,
Tropical Latin America,,2000,56.9,,,
Tropical Latin America,,2005,59.8,,,
Tropical Latin America,,2010,62.5,,,
Tropical Latin America,,2015,64.7,,,
Tunisia,TUN,1990,53.0,,8440035.0,
Tunisia,TUN,1995,56.9,,9294106.0,
Tunisia,TUN,2000,61.4,301.8357,9893326.0,
Tunisia,TUN,2005,64.5,420.1735,10388349.0,
Tunisia,TUN,2010,67.4,597.54877,10895063.0,
Tunisia,TUN,2015,70.1,675.97504,11557779.0,Africa
Turkey,TUR,1990,51.3,,54324140.0,
Turkey,TUR,1995,55.4,,59305492.0,
Turkey,TUR,2000,62.4,443.08084,64113548.0,
Turkey,TUR,2005,68.6,587.4559,68704712.0,
Turkey,TUR,2010,74.3,881.3845,73195352.0,
Turkey,TUR,2015,76.2,1060.2424,79646176.0,Asia
Turkmenistan,TKM,1990,47.1,,3720287.0,
Turkmenistan,TKM,1995,47.7,,4226625.0,
Turkmenistan,TKM,2000,48.8,174.61722,4569135.0,
Turkmenistan,TKM,2005,51.1,557.02026,4885780.0,
Turkmenistan,TKM,2010,54.5,490.17334,5267975.0,
